Season,RoundNumber,RaceName,Driver,Team,NumPitStops,FirstPitStopLap,TireSequence,StartCompound,EndCompound
2025,1,Australian Grand Prix,DOO,Alpine,0,,INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,GAS,Alpine,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,ALO,Aston Martin,3,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,STR,Aston Martin,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,HAM,Ferrari,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,LEC,Ferrari,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,BEA,Haas F1 Team,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,OCO,Haas F1 Team,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,BOR,Kick Sauber,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,HUL,Kick Sauber,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,NOR,McLaren,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,PIA,McLaren,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,ANT,Mercedes,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,RUS,Mercedes,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> HARD -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,HAD,Racing Bulls,0,,INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,TSU,Racing Bulls,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,LAW,Red Bull Racing,4,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM,INTERMEDIATE,MEDIUM
2025,1,Australian Grand Prix,VER,Red Bull Racing,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,ALB,Williams,5,2,INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> INTERMEDIATE -> MEDIUM -> INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,1,Australian Grand Prix,SAI,Williams,0,,INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
2025,2,Chinese Grand Prix,DOO,Alpine,1,11,MEDIUM -> HARD,MEDIUM,HARD
2025,2,Chinese Grand Prix,GAS,Alpine,1,10,MEDIUM -> HARD,MEDIUM,HARD
2025,2,Chinese Grand Prix,ALO,Aston Martin,0,,MEDIUM,MEDIUM,MEDIUM
2025,2,Chinese Grand Prix,STR,Aston Martin,1,36,HARD -> MEDIUM,HARD,MEDIUM
2025,2,Chinese Grand Prix,HAM,Ferrari,2,13,MEDIUM -> HARD -> HARD,MEDIUM,HARD
