CircuitLocation,avg_lap,lap_variability
Melbourne,103.6380198,18.62400929
Spa-Francorchamps,113.7993407,15.6826596
Silverstone,108.4389332,14.0652817
Imola,87.35023237,13.56248792
Zandvoort,81.94839134,12.93976238
Lusail,90.18384774,12.17399081
Barcelona,84.6834376,10.69031997
São Paulo,78.58898639,10.18424212
Montréal,79.20470951,8.956778567
Spielberg,72.96004893,8.097704402
Sakhir,100.8874673,8.016440687
Miami Gardens,94.92366866,7.816199262
Las Vegas,98.6305724,7.545502251
Jeddah,95.86624971,7.223263254
Monaco,79.34916585,7.074199495
Austin,101.8046801,6.365410272
Baku,107.425733,6.085420599
Mexico City,83.83519017,4.10526852
Shanghai,98.50253897,3.681112965
Marina Bay,98.58315216,3.536291502
Monza,84.23518275,3.492342547
Suzuka,93.89500283,3.437488596
Yas Island,90.25416696,3.436054159
Budapest,82.93378728,3.262304084
