driver,avg_lap_time,lap_time_stddev
COL,88.28948706,13.35202565
PIA,89.10582558,13.83784383
NOR,89.65803043,14.10054756
HAD,90.14231555,13.45717944
RUS,90.26219733,13.87955377
LAW,90.54117143,13.394066
BOR,90.75838519,13.49606415
SAI,90.7959472,13.06703734
VER,90.81641519,13.75996787
LEC,90.82291567,13.90859345
TSU,90.97741533,14.026141
ALO,90.99993468,13.93393142
OCO,91.00834635,13.58108836
HAM,91.04956003,13.90568866
BEA,91.13837712,14.11581707
STR,91.15222573,13.90806228
ANT,91.19522463,13.45798229
HUL,91.59014027,14.06721035
GAS,91.72218014,14.047208
ALB,92.04210861,13.66592352
DOO,98.1190939,6.765505554
