Season,RoundNumber,RaceName,CircuitLocation,Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime_Sec,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,PitInTime,PitOutTime,TrackStatus,IsAccurate
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,1.0,1.0,INTERMEDIATE,1.0,True,119.392,,20.705,55.25,,,124,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,2.0,1.0,INTERMEDIATE,2.0,True,,58.141,37.976,73.205,0 days 01:15:38.205000,,4,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,3.0,2.0,INTERMEDIATE,3.0,False,,56.23,33.683,72.232,0 days 01:18:20.223000,0 days 01:15:51.658000,4,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,4.0,3.0,INTERMEDIATE,4.0,False,,54.351,32.712,68.712,0 days 01:20:56.543000,0 days 01:18:34.029000,4,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,5.0,4.0,INTERMEDIATE,5.0,False,143.609,53.513,32.627,57.469,,0 days 01:21:09.534000,4,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,6.0,4.0,INTERMEDIATE,6.0,False,139.654,47.887,33.228,58.539,,,4,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,7.0,4.0,INTERMEDIATE,7.0,False,136.447,45.898,29.735,60.814,,,41,False
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,8.0,4.0,INTERMEDIATE,8.0,False,96.83,35.249,20.145,41.436,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,9.0,4.0,INTERMEDIATE,9.0,False,94.315,33.85,19.608,40.857,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,10.0,4.0,INTERMEDIATE,10.0,False,92.65,33.117,19.414,40.119,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,11.0,4.0,INTERMEDIATE,11.0,False,92.453,33.017,19.392,40.044,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,12.0,4.0,INTERMEDIATE,12.0,False,91.591,32.767,19.302,39.522,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,13.0,4.0,INTERMEDIATE,13.0,False,91.271,32.572,19.292,39.407,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,14.0,4.0,INTERMEDIATE,14.0,False,90.639,32.137,19.124,39.378,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,15.0,4.0,INTERMEDIATE,15.0,False,90.328,31.945,18.879,39.504,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,16.0,4.0,INTERMEDIATE,16.0,False,90.592,31.921,19.071,39.6,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,17.0,4.0,INTERMEDIATE,17.0,False,93.392,32.432,19.003,41.957,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,18.0,4.0,INTERMEDIATE,18.0,False,92.169,32.55,18.956,40.663,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,19.0,4.0,INTERMEDIATE,19.0,False,91.939,32.547,19.002,40.39,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,20.0,4.0,INTERMEDIATE,20.0,False,91.598,32.354,19.009,40.235,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,21.0,4.0,INTERMEDIATE,21.0,False,91.177,32.272,18.898,40.007,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,22.0,4.0,INTERMEDIATE,22.0,False,91.04,32.48,18.943,39.617,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,23.0,4.0,INTERMEDIATE,23.0,False,90.686,32.099,18.912,39.675,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,24.0,4.0,INTERMEDIATE,24.0,False,90.978,32.243,18.994,39.741,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,25.0,4.0,INTERMEDIATE,25.0,False,90.845,32.279,18.911,39.655,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,26.0,4.0,INTERMEDIATE,26.0,False,90.293,32.159,18.938,39.196,,,1,True
2025,1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,27.0,4.0,INTERMEDIATE,27.0,False,89.731,31.904,18.868,38.959,,,1,True
