race_id,season,driver,lap_number,pit_duration
1,2025,VER,3.0,-148.565
1,2025,VER,4.0,-142.514
1,2025,GAS,3.0,-147.485
1,2025,GAS,4.0,-140.484
1,2025,ANT,3.0,-147.264
1,2025,ANT,4.0,-141.184
1,2025,ALO,3.0,-146.791
1,2025,ALO,4.0,-140.439
1,2025,LEC,3.0,-147.459
1,2025,LEC,4.0,-141.622
1,2025,STR,3.0,-146.992
1,2025,STR,4.0,-140.95
1,2025,TSU,3.0,-147.815
1,2025,TSU,4.0,-141.647
1,2025,ALB,3.0,-147.493
1,2025,ALB,4.0,-139.471
1,2025,HUL,3.0,-147.03
1,2025,HUL,4.0,-141.558
1,2025,LAW,3.0,-148.071
1,2025,LAW,4.0,-141.502
1,2025,OCO,3.0,-147.956
1,2025,OCO,4.0,-141.914
1,2025,NOR,3.0,-148.548
1,2025,NOR,4.0,-143.146
1,2025,HAM,3.0,-147.952
1,2025,HAM,4.0,-139.361
1,2025,BOR,3.0,-147.815
1,2025,BOR,4.0,-141.374
1,2025,RUS,3.0,-148.105
1,2025,RUS,4.0,-142.718
1,2025,PIA,3.0,-148.569
1,2025,PIA,4.0,-142.631
1,2025,BEA,3.0,-147.862
1,2025,BEA,4.0,-143.257
4,2025,SAI,45.0,-95.231
9,2025,ALB,27.0,-84.614
10,2025,VER,68.0,-106.12
10,2025,VER,69.0,-105.529
10,2025,GAS,67.0,-97.247
10,2025,GAS,68.0,-88.502
10,2025,ANT,68.0,-104.384
10,2025,ANT,69.0,-105.498
10,2025,ALO,67.0,-95.485
10,2025,ALO,68.0,-81.063
10,2025,ALO,69.0,-78.36
10,2025,LEC,68.0,-96.732
10,2025,LEC,69.0,-92.514
10,2025,STR,67.0,-97.661
10,2025,STR,68.0,-83.579
10,2025,TSU,67.0,-99.108
10,2025,TSU,68.0,-88.047
10,2025,HUL,67.0,-94.083
10,2025,HUL,68.0,-80.81
10,2025,HUL,69.0,-78.501
10,2025,OCO,67.0,-98.879
10,2025,OCO,68.0,-105.122
10,2025,COL,67.0,-98.748
10,2025,COL,68.0,-87.673
10,2025,HAM,68.0,-92.377
10,2025,HAM,69.0,-79.532
10,2025,BOR,67.0,-99.341
10,2025,BOR,68.0,-87.567
10,2025,SAI,67.0,-99.215
10,2025,SAI,68.0,-105.388
10,2025,HAD,67.0,-97.333
10,2025,HAD,68.0,-84.673
10,2025,RUS,68.0,-107.547
10,2025,RUS,69.0,-105.451
10,2025,PIA,68.0,-99.655
10,2025,PIA,69.0,-105.669
10,2025,BEA,67.0,-98.56
10,2025,BEA,68.0,-88.857
17,2025,OCO,2.0,-146.078
22,2025,TSU,1.0,-99.357
22,2025,ALB,14.0,-99.165
22,2025,ALB,35.0,-101.654
22,2025,BOR,2.0,-128.408
23,2025,OCO,9.0,-126.608
23,2025,BEA,41.0,-83.198
